Name,Area,Full_Address,Dining,Veg,zomato_reviews,zomato_ratings,Delivery Reviews,KnownFor,PopularDishes,PeopleKnownFor,AverageCost
Sanjha Chulha,"Southern Avenue, Kolkata","558/2, Hemanta Mukhopadhyay Sarani, Panditiya Extension Road, Near Vivekananda Park, Southern Avenue, Kolkata",1,0,535,4.1,1666,,"Chicken Shahi Tikka, Kandhari Chicken, Cheese Kulcha, Special Mutton Biryani, Chicken 65, Mughlai Food","Comfortable Seating, Affordable, Calm, Cozy Place, Nice Decor, Decoration",700
How Chi,"Jadavpur, Kolkata","P-112, Regent Estate, Near Layalka Math, Jadavpur, Kolkata",1,0,0,4.1,670,,,,200
Garden Cafe Express,"Southern Avenue, Kolkata","P 457, Hemanta Mukhopadhyay Sarani, Ward No 86, Keyatala, Southern Avenue, Kolkata",1,0,131,3.7,1054,South Indian Delights!!,"Ice Cream Soda, Idli, Vada, Masala Dosa",,400
Momo Raja,"Prince Anwar Shah Road, Kolkata","311/6B, 1st Floor, Prince Anwar Shah Road, Kolkata",1,0,22,4.3,1063,,,"Good Packaging, Clean and Hygienic Place, Customer Service, Preparation, Best Food under Best Budget, Fresh Food",300
Aahar-E-Kolkata,"Baghajatin, Kolkata","62E/52A/1, Raja S C Mullick Road, Baghajatin, Kolkata",0,0,0,4,1924,,,,150
Little Pleasures,"Paddapukur, Kolkata","60 B Sarat Bose Road, Paddapukur, Kolkata",1,0,127,4.3,2105,,"Hazelnut Mousse, Pastry, Cakes, Desserts","Table Service, Pocket Friendly, Perfect Presentation, Hospitality, Cafe, Decor",900
Number 18,"Prince Anwar Shah Road, Kolkata","1/2, Podder Nagar Colony, Prince Anwar Shah Road, Kolkata",1,0,152,3.7,1489,,"Butter Naan, Kebabs, Biryani, Rice","Budget Friendly Restaurant, Casual Seating Area, Excellent Location, Mouth Watering Food, Great Recommendations, Behavior",500
A1 Haji Biryani,"Jadavpur, Kolkata","144, 1B Samajhgarh Colony, Minapara Road, Jadavpur, Kolkata",0,0,0,3.4,2326,,,,200
Kasba Korner,"Kasba, Kolkata","187/4, Banku Bihari Chatterjee Road, Kasba, Kolkata",0,0,0,3.6,2324,,,,150
Blue Lagoon,"Jadavpur, Kolkata","A26, Jadavpur Super Market, Jadavpur, Kolkata",1,0,414,4.3,2544,,"Pork Noodles, Hong Kong Chicken, Gravy Chowmein, Chicken Pakora, Noodle, Chicken Momo","Family Place, Cozy, Staff Behavior, Chinese, Wonderful Presentation, Food Quantity",800
AB's - Absolute Barbecues,"Ruby Hospital Area, Kolkata","781, Ruby Crossing, Akash Tower, Eastern Metropolitan Bypass, Anandapur, Ruby Hospital Area, Kolkata",1,0,399,3.7,150,,"Rabbit, Mutton Handi, Crispy Corn, Chingri Malaikari, Jalebi, Barbeque","Cheap and Affordable, Fair Prices, Wonderful Service, Birthday Celebration, Weekend Brunch, Good Music",1400
Krazee Kulcha,"Lake Gardens, Kolkata","Shop 414, Near Lifeline Chemist, Lake Gardens, Kolkata",1,1,25,3.9,318,,,"Awesome Spot to Hangout, Clean and Hygienic Place, Worth the Money, Food Presentation, Timely Service, Great Portions",500
Ebites@99,"New Alipore, Kolkata","58/1 A, Tollygunge Road, New Alipore, Kolkata",0,0,0,3.7,31,,,,100
Wow Burger,"Jadavpur, Kolkata","68E/683A, C/1B, Raja Subodh Chandra, Mullick Road, Bapuji Nagar, Jadavpur, Kolkata",0,0,0,3.6,5886,,"Chicken Mayo Sandwich, Egg Sandwich, Spicy Food, Wings","Proper Packaging, Reasonable Price, Worth the Money, Timely Service, Great Portions, Delicious Food",100
Top Of China,"Jadavpur, Kolkata","8, Bedaraipur Road, Jadavpur, Kolkata",0,0,0,3.6,3467,,,"Good Quantity, Proper Packaging, Tasty, Fresh Food, Price",150
Chennai Express,"Kalikapur, Kolkata","659, 1st Floor, Kalikapur, Kolkata",1,0,19,4,730,,,"Value for Money, Packaging, Quantity, Price",250
Wich Craft,"Jadavpur, Kolkata","130/8, Prince Gollam Hossain Shah Road, Katju Nagar, Jadavpur, Kolkata",0,0,0,4,12800,,"Oreo Waffle, Pancakes, Omelette, Waffles, Sausage, Shakes","Bank for the Buck, Eggless Dessert Options, Pocket Friendly, Breakfast, Excellent Food, Spill Proof Packaging",150
Kolkatar Petuk,"Tollygunge, Kolkata","B 11, Charu Chandra Place, Tollygunge, Kolkata",0,0,0,4,2356,,,"Spill Proof Packaging, Worth the Money, Great Portions, Timely Service, Spicy, Portion",100
Kerala Express,"Jadavpur, Kolkata","74/2/149, Sri Ram Thakur Road, 2/129, Bijoygarh, Jadavpur, Kolkata",0,0,0,3.9,376,,,,100
Frozen Kreme,"Ruby Hospital Area, Kolkata","Chowbaga 92, Paschim Chowbaga, Ruby Hospital Area, Kolkata",0,0,0,3.5,385,,,,50
Tandoor House,"Golpark, Kolkata","46, Ballygunje Garden, Near Golpark Auto Stand, Golpark, Kolkata",1,0,1686,4.3,1048,,"Badshahi Pulao, Reshmi Butter Chicken, Tandoori Naan, Biryani Combo, Chicken Rezala, Mutton Rezala","Good Combos, Themed Decor, Good for Large Groups, Cheap Prices, Great Restaurant, Pocket Friendly Restaurant",400
A1 Ajooba Biryani Centre,"Golf Green, Kolkata","144, 1B, Samajh Garh Colony, Minapara Road, Golf Green, Kolkata",0,0,0,3.4,2854,,,"Portion, Great Portions, Good Quality, Quantity",200
Albela Biryani,"Topsia, Kolkata","9F, Topsia road, Topsia, Kolkata",1,0,246,4,10200,,,"Good Portions, Lip Smacking Food, Low Price, Amazing Food, Good Quantity, Service",250
Matka Garam,"Ruby Hospital Area, Kolkata","1998, Rajdanga Main Road, Bl-Ge-35, 1st Floor, Borough-12, Ruby Hospital Area, Kolkata",0,0,0,3.7,378,,,"Cute Packaging, Worth the Money, Great Portions, Delicious Food, Timely Service, Quantity",250
Denzong Delight,"Jodhpur Park, Kolkata","1/22, Poddar Nagar, Jodhpur Park, Kolkata",1,0,0,3.9,4,,,,300
Hunger's Chowk,"Golf Green, Kolkata","8/7A, Bijoygarh, Post Office Jadavpur, Near 234 Bus Stand, Golf Green, Kolkata",1,0,105,4.1,6034,,,,450
Swad Er Bangali,"Prince Anwar Shah Road, Kolkata","Shah Road, Ward 94, Borough X, Prince Anwar Shah Road, Kolkata",0,0,0,3.5,156,,,,150
Ranimar Heshel,"Baghajatin, Kolkata","3/87, Ground Floor, Chittaranjan Colony, Borough-XII, Baghajatin, Kolkata",0,0,0,3.5,442,,,,100
Burp-Yani,"Ruby Hospital Area, Kolkata","JL 2, Touzi 2998, Khaitan 41, Present Dag 4, Mouza Karimpur, Off Nazirabad Main Road Nazirabad, Ucchepota, Ruby Hospital Area, Kolkata",0,0,0,3.7,211,,,,300
Paritripti,"Ruby Hospital Area, Kolkata","Frs.4/2, 4/1 G, Anandpur P54, Kasba Industrial Estate Phase I, Ruby Hospital Area, Kolkata",0,0,0,3.8,132,,,,100
Haji Biryani House,"Naktala, Kolkata","P 112, Regent Estate, Near Lalka Math, Naktala, Kolkata",0,0,0,3.9,617,,,,200
Haji Saheb Biryani House,"Tollygunge, Kolkata","1/88/1, Azadgarh, Near Golf Green Club Gate 13, Tollygunge, Kolkata",0,0,0,3.4,967,,,,300
Sharma Ji Ka South Indian,"Tollygunge, Kolkata","1/88/1, Golf Club Gate 13, Azadgarh, Tollygunge, Kolkata",1,0,10,3.6,1636,,,,250
Singh Brothers,"Jadavpur, Kolkata","47, Bikramgarh, Golf Green, Jadavpur, Borough -X, Jadavpur, Kolkata",0,0,0,4.1,436,,,"Fair Prices, Fresh Food with Good Quality, Best Food under Best Budget, Extensive Menu, Great Portions",100
Slay Coffee,"Jodhpur Park, Kolkata","71, 1st Floor, Reliance Fresh, Jodhpur Park Road, Dhakuria, Jodhpur Park, Kolkata",0,0,0,4.1,223,,,,150
Bangaliyana Rannaghar,"Dhakuria, Kolkata","64, Sarat Ghosh Garden Road, Dhakuria, Kolkata",0,0,0,3.3,1292,,,"Cute Packaging, Extensive Menu, Worth the Money, Great Portions, Timely Service, Fresh Food",100
South Indian Kitchen,"Tollygunge, Kolkata","1/88/1, Azadgarh, Near Golf Club Gate 13, Tollygunge, Kolkata",0,0,0,3.5,1061,,,,150
Nu Sagar,"Baghajatin, Kolkata","LP 161/9, A/59/1, Baghajatin, Kolkata",1,0,48,3.7,1652,,,,150
Poshtik Kitchens,"Ruby Hospital Area, Kolkata","S/29A, Ground Floor, Anandapur Kasba Industrial Estate, Phase-3M, Ruby Hospital Area, Kolkata",0,0,0,3.7,70,,,,200
Bedwin,"Dhakuria, Kolkata","15, Gariahat Road, Dhakuria, Kolkata",1,0,208,3.6,466,,,,300
Raju South Indian Food,"Jadavpur, Kolkata","7, Jadavpur 8B Bus Stop, Raja S.C Mullick Road, Near Canara Bank, Jadavpur, Kolkata",0,1,0,4,1453,,,,100
Machhaanese,"Santoshpur, Kolkata","108, Santoshpur Avenue, Santoshpur, Kolkata",0,0,0,3.6,293,,,,200
The Mighty Bowl,"Prince Anwar Shah Road, Kolkata","188/95, Ward 093, Prince Anwar Shah Road, Kolkata",0,0,0,4,5,,,,200
Chennai Express,"Jodhpur Park, Kolkata","1/427, Gariahat Road, Jodhpur Park, Kolkata",0,0,0,4.1,9502,,,"Portion, Good Food, Prices, Quantity",150
New Banglar Rannaghar,"Prince Anwar Shah Road, Kolkata","36/2/103, Prince Anwar Shah Road, Kolkata",1,0,18,3.7,916,,,"Elaborate Menu, Customizable Food, Fresh Food, Good Quality",400
Wokaholic,"Tollygunge, Kolkata","74/4/113, Jadavpur Central Road, Near Pollli Shree Auto Stand, Bijoygarh, Tollygunge, Kolkata",1,0,325,4,6639,,"Chicken Shumai, Chicken Honey, Chicken Hakka Noodles, Noodle, Mixed Fried Rice, Starter","Ample Seating Area, Themed Decor, Concept, Portion Size, Young Crowd, Interior",500
NYPF - New York Pizza Factory,"Alipore, Kolkata","60 A, Alipore Road, Alipore, Kolkata",0,0,0,4,1344,,"Molten Lava Cake, Melted Chocolate, Tiramisu, Pizzas, Cheesecake, Desserts","Great Veg Options, Filling Food, Mouth Watering Food, Healthy and Delicious, Fresh Food with Good Quality, Delicious Taste",250
Go 69 Pizza,"Jodhpur Park, Kolkata","151, Jodhpur Park, Kolkata",1,0,22,3.4,184,,,"Cheap and Affordable, Pocket Friendly, Good Music, Customizable Food, Young Crowd, Fresh Food",250
Opar Bangla Eparei,"Jadavpur, Kolkata","46/1, Raja Subodh Mullick Road, Jadavpur, Kolkata",0,0,0,4.1,186,,,,150
Aisha Biriyani,"Jadavpur, Kolkata","58/2, Sri Ram Thakur Road, Jadavpur, Kolkata",0,0,0,3.5,115,,,,150
Snacking,"Prince Anwar Shah Road, Kolkata","188/60/2, Prince Anwar Shah Road, Kolkata",1,0,1809,4.2,3102,,"Mushroom Blini, Mexican Chicken Platter, Iced Peach Tea, Cappuccino Coffee, Caramel Popcorn, Salami Pizza","Amazing Food with Best Price, Music and Feel, Decor and Seating Outside, Couple Friendly, Board Games, Cool Decor",900
Calcutta Cravings,"Desapriya Park, Kolkata","14A, Ward 086, Borough- 8, Lake View Road, Desapriya Park, Kolkata",0,0,0,4.1,100,,,,150
Maggi Wala,"Kalighat, Kolkata","11H, Ground Floor, Satyendra Nath Majumder Sarani, Manohar Pukur Road, Kalighat, Kolkata",0,0,0,4,972,,,,150
Khanti Bangali,"Prince Anwar Shah Road, Kolkata","36\2, Prince Golam Mohammed Shah Road, Near New Better High School, Jhilmil Para, Prince Anwar Shah Road, Kolkata",0,0,0,3.6,533,,,,150
Nusrat's,"Southern Avenue, Kolkata","18B, Lake View Road, Southern Avenue, Kolkata",0,0,0,4.3,545,,,"Fair Prices, Affordable Prices, Good Quality, Quantity, Taste",250
Kwality Wall's Frozen Dessert And Ice Cream Shop,"Kasba, Kolkata","16, Near Pribbena Mor, Rajdanga Gold Park, Kasba, Kolkata",0,0,0,4.5,10,,,,150
Keventers Ice Creams,"Paddapukur, Kolkata","44A, Ground Floor, Sarat Bose Road, Paddapukur, Kolkata",0,1,0,4.4,510,,,,200
The Chaiwala,"Southern Avenue, Kolkata","P 459B, Hemanta Mukherjee Saranai, Keyatala, Southern Avenue, Kolkata",1,0,494,4.2,530,,"Hot Wings, Pancakes, Chai, Oreo Shake, Waffles, Chicken Wings","Quaint Little Place, Pocket Friendly Prices, Affordable, Cosy Place, Cafe, Best Places",500
Canteen By Wich Craft,"Golf Green, Kolkata","130/8, Prince Gollam Hossain Shah Road, Katju Nagar Golf Green, Kolkata",0,0,0,3.8,835,,,,200
Bhim Nag's Brother Sreenath Nag,"Kasba, Kolkata","210, Rajdanga Main Road, Kasba, Kolkata",0,1,0,4.3,787,,,,100
Sagar Biryani Centre,"Baghajatin, Kolkata","2/238, Sree Colony, I Block, Near Udyan Sangha Club, Baghajatin, Kolkata",1,0,1,3.5,4805,,,,250
Jugal's,"Ballygunge, Kolkata","Shop A10, Gariahat Market Complex, Rash Behari Avenue Road, Ballygunge Gardens, Gariahat, Ballygunge, Kolkata",1,1,3,4.1,4,,,,100
Kirans Kitchen,"Santoshpur, Kolkata","6, Bagan Bari Road, Santoshpur, Kolkata",0,0,0,3.7,304,,,,150
Mintelaa,"Minto Park, Kolkata","2B, Gorky Terrace, Minto Park, Kolkata",1,0,511,4.3,321,,"Murg Reshmi Kabab, Masala Rice, Orange Mojito, Peri Peri Pizza, Green Apple Mojito, Veg Platter","Rooftop Ambience, Friendly Service, Packed on Weekends, Outdoor Seating, Cool Place, Good Music",1100
Swade Bengali,"Lake Gardens, Kolkata","52, Gobindapur Road, Lake Gardens, Kolkata",0,0,0,4,26,,,,150
Hatti Punjab Di,"Baghajatin, Kolkata","290/3, Ashok Road, Baghajatin, Kolkata",0,0,0,3.6,308,,,"Worth the Money, Timely Service, Quality, Food, Packaging",150
Sengupta's Biryani & Kebabs,"Prince Anwar Shah Road, Kolkata","391/14, 1/14, Poddar Nagar, Prince Anwar Shah Road, Kolkata",0,0,0,3.7,793,,,,100
Marbella's,"Hindustan Park, Kolkata","29 A, Hindustan Park, Kolkata",1,0,867,4.1,239,,"Cinnamon Hot Chocolate, Rocky Road Brownie, Potsticker, Pesto Mushroom, Flatbreads, Fish and Chips","Natural Ambience, Photogenic Place, Quantity and Quality of Food, Aesthetic Interiors, Decor was Nice, Good Food Good Quantity",800
Food King,"Park Street Area, Kolkata","90/1, Ground Floor, Muzaffar Ahmed Street, Ward 62, BR-4, Park Street Area, Kolkata",1,0,7,3.9,1710,,,"Great Portions, Fresh Food, Good Quality, Experience",300
CFC - Biryani,"Tollygunge, Kolkata","1/88/1, Azadgarh Golf Club, Gate 13, Tollygunge, Kolkata",1,0,101,3.3,5488,,,,200
Deja Bowl,"Hazra, Kolkata","1, Andul Raj Road, Ward 84, Hazra, Kolkata",0,0,0,3.9,129,,,"Mouth Watering Food, Fresh Food with Good Quality, Cute Packaging, Extensive Menu, Proper Packaging, Great Portions",150
Haji Biryani 2,"Tollygunge, Kolkata","1, Graham Road, Tollygunge, Kolkata",0,0,0,4.1,96,,,,150
Hondo's,"Jodhpur Park, Kolkata","1/379, Jodhpur Park, Kolkata",1,0,2042,4.1,9015,24*7 delivery of Non Veg delicacies at affordable prices,"Mango Burger, Lemon Butter Basa, Beef Chilli, Hamburger, Bacon Pasta, Beef Patty","Wee Hours, Serving Size, Menu Options, Relaxed Atmosphere, Gastronomical Experience, Great Music",700
Bijoli Grill Foods Corner,"Kalighat, Kolkata","42, Sadananda Road, Kalighat, Kolkata",0,0,95,4.1,1814,,,,450
INOX,"Ballygunge, Kolkata","33, 4th Floor, Quest Mall, Syed Amir Ali Avenue, Ballygunge, Kolkata",0,0,0,4,4,,,,250
Gourmet Ice Cream Cakes by Baskin Robbins,"Naktala, Kolkata","243/3, Ground Floor, N.S.C. Bose Road, Ward 100, Naktala, Kolkata",0,0,0,4.4,79,,,,150
Momo & Dimsum,"Jadavpur, Kolkata","Shop 5, Ward 93, Poddar Nagar, Jadavpur, Kolkata",0,0,0,4.3,896,,,"Best Food under Best Budget, Great Portions, Price, Quantity, Taste, Food",100
French Loaf,"Jadavpur, Kolkata","6/6, Poddar Nagar, Ground Floor, Prince Anwar Shah Road, Near South City Mall, Jadavpur, Kolkata",0,0,0,4.1,95,,,,100
Snack Shack,"Kasba, Kolkata","884, Ground Floor, Building DD 22, Raj Danga Main Road, Kasba, Kolkata",0,0,0,4,476,,,,150
Posto,"Garia, Kolkata","R1/1, Baishnab, Ghata Patuli, Garia, Kolkata",1,0,273,3.8,3328,,"Doi Chicken, Bangali Khabar, Jhuri Alu Bhaja, Kochupata Chingri, Authentic Bengali Food, Mutton Kasha","Great Food Great Service, Themed Decor, Cozy Place, Good Value, Courteous Staff, Family Crowd",350
M M Fast Food Center,"Jadavpur, Kolkata","7B, Raja SC Mullick Road, Jadavpur, Kolkata",0,0,0,4.2,2259,,"Noodle, Chili Chicken, Momos, Rolls, Hakka Noodles, Egg","Low Price, Worth the Money, Quantity, Delicious Food, Good Food, Food Quality",100
Kolkata Beverage Company - KBC,"Prince Anwar Shah Road, Kolkata","188/60/2, Prince Anwar Shah Road, Kolkata",0,0,1,4.2,486,,,,300
My Big Fat Belly,"Picnic Garden, Kolkata","5, Kamal Banquets, Chowbhagha Road, CN Roy Road, Picnic Garden, Kolkata",0,0,0,3.9,1337,,"Sunny Side Egg, Grilled Fish, Cheesecake, Burgers, Pizza, Chicken","Customizable Food, Extensive Menu, Great Portions, Elaborate Menu, Worth the Money, Portion",350
Ubuntu Eat,"New Alipore, Kolkata","603/1/B, Block O, New Alipore, Kolkata",1,0,239,4.3,906,,"Whole Wheat Momos, Falafel, Hummus, Cheesecake, Fish Fry, Brownie","Concept, Perfect Presentation, Wonderful Presentation, Weekend Brunch, Decoration, Good Wifi",800
Bhimnag's Brother Sreenath Nag,"Kalikapur, Kolkata","83, Kalitala Road, Kalikapur, Kolkata",0,1,0,4,489,,,,100
Food Peddler Sandwiches,"Kalighat, Kolkata","11H, Ground Floor, Satyendra Nath Majumder Sarani, Manohar Pukur Road, Kalighat, Kolkata",0,0,0,4.3,1113,,"Egg Mayo Sandwich, Chicken Mayo, Double Decker, Shredded Chicken, Mashed Potatoes, Breads","Cute Packaging, Tamper Proof Packaging, Contactless Delivery, Worth the Money, Extensive Menu, Food Presentation",200
Millie's,"Kasba, Kolkata","Block GA 62, Raj Danga Main Road, Kasba, Kolkata",0,0,0,4.2,511,,"Chocolate Cookies, Chocolate Mousse Cake, Macaroons, Cake","Good for Dessert, Eggless Dessert Options, Coffee Date, Prices, Staff, Quality",100
Blue Tokai Coffee Roasters,"Ballygunge, Kolkata","29/6, Ballygunge Park, Ballygunge, Kolkata",1,0,35,4.3,264,,,"Sanitised Service, Excellent Location, Ambience was Super Cool, Nice Concept, Served Quickly, Fresh Food with Good Quality",800
Don Giovanni's Good Fellas,"Park Street Area, Kolkata","57 A, Park Street Area, Kolkata",1,0,950,3.9,6431,,"Double Chicken Lasagne, Burmese Khao Suey, Dragon Roll, Crackling Spinach, Bang Bang Chicken, Grilled Bhetki","Fast and Friendly Service, Late Night Delivery, Gastronomical Experience, Themed Decor, Cozy Place, Packed on Weekends",1200
Barista,"Hindustan Park, Kolkata","10, Hindustan Road, Hindustan Park, Kolkata",1,0,24,3.9,202,,,"Elaborate Menu, Fresh Food, Good Quality, Ambience, Value for Money, Service",600
The Golden Chef,"Naktala, Kolkata","Plot 38, Raipur Garia Naktala, Kolkata",0,0,0,3.5,77,,,,200
Café Porkotini,"Kalikapur, Kolkata","90, Kalitala Road, Kalikapur, Kolkata",1,0,211,4,351,,"Pork Khorikaa, Pork Chop, Mocktail, Tea, Momo, Drink","Outdoor Area, Excellent Food and Service, Best in Service, Great Place for Family, Awesome Spot to Hangout, Comforting Atmosphere",450
Golbari Delivers,"Jodhpur Park, Kolkata","157, Jodhpur Garden, Near Silver Line High Hospital, Jodhpur Park, Kolkata",0,0,0,3.6,139,,,,250
Tewari Brothers,"New Alipore, Kolkata","78/12, Block E, New Alipore, Kolkata",1,1,326,4.2,7405,,"Kalakand, Raj Kachori, Kaju Barfi, Chole, Dhokla, Hot Gulab Jamun","Prompt Service, Good Taste, Worth the Money, Location, Great Place, Prices",400
Gali Parathewali,"Ruby Hospital Area, Kolkata","S/29A Anandapur Kasba Industrial Estate, Phase-3m, Em By-Pass East, Ground Floor, Ward 108, Ruby Hospital Area, Kolkata",0,0,0,3.8,48,,,,150
Officer's Kitchen,"Kasba, Kolkata","25, Bose Pukur Road, Kasba, Kolkata",1,0,10,3.9,438,,,,600
Beefy Affair,"Park Circus Area, Kolkata","Shop 24/1/1/H4, Bright Street, Park Circus Area, Kolkata",0,0,0,3.9,3035,,,"Yummy Food, Extensive Menu, Great Portions, Worth the Money, Delicious Food, Quantity",250
Behnam,"Desapriya Park, Kolkata","24 A, Lake View Road, Desapriya Park, Kolkata",1,0,34,3.4,156,,,"Best Staff, Sanitised Service, Clean and Hygienic Place, Fantastic Decoration, Served Quickly, Best Food under Best Budget",300
The Tasty Bites,"Kasba, Kolkata","P 20, Rajkrishna Chatterjee Road, Near Bakultala More, Kasba, Kolkata",0,0,1,4,1734,,,"Hospitality, Reasonable Price, Prices, Good Food, Quantity, Service",500
Moonlight Sonata,"Dhakuria, Kolkata","14G, Near Ramchandra High School, Station Road, Dhakuria, Kolkata",1,0,117,3.5,392,,,"Reasonable Price, Decor, Good Food, Food Quality, Ambience, Service",350
Bhuri Bhoj,"Kalikapur, Kolkata","318, Maduraha, Kalikapur, Kolkata",1,0,91,4,750,,,"Preparation, Spicy, Ambience, Service, Food, Quantity",450
The South City Food Hub,"Golf Green, Kolkata","82/1D, Bikramgarh, Golf Green, Kolkata",0,0,0,4,210,,,"Low Price, Fresh Food with Good Quality, Delicious Taste, Timely Service, Great Portions",100
Urban Pot,"Kalikapur, Kolkata","P-1795, Madurdaha, 1st Floor, Ward 108, Borough-XII, Kalikapur, Kolkata",0,0,0,3.9,64,,,"Proper Packaging, Extensive Menu, Worth the Money, Great Portions, Delicious Food, Quantity",150
Chop Chop,"Kalikapur, Kolkata","140/1/1, First Floor, Kalikapore Road, Kalikapur, Kolkata",0,0,0,4.3,70,,,,350
Shawarma Hut,"Desapriya Park, Kolkata","77A, Rasbihari Avenue, Opposite HDFC Bank, Desapriya Park, Kolkata",0,0,0,3.7,4,,,,100
Gupta Brother And Sisters,"Kasba, Kolkata","292, B B Chatterjee Road, Kasba, Kolkata",0,0,0,3.9,400,,,,100
Thali Express,"Baghajatin, Kolkata","H/41A, Baghajatin, Kolkata",0,0,0,4,45,,,,100
Kimchi,"Kasba, Kolkata","27 C, Bose Pukur Road, Kasba, Kolkata",0,0,15,3.7,66,,,"Best in Service, Fair Prices, Comforting Atmosphere, Served Quickly, Combos, Ambience",450
The Waffle Story,"Golf Green, Kolkata","130/8, Prince Gollam Hossain Shah Road, Katju Nagar Golf Green, Kolkata",0,0,0,3.7,1456,,,"Customizable Food, Elaborate Menu, Worth the Money, Fresh Food, Delicious Food, Good Quality",150
Toastie And Tonic,"Golf Green, Kolkata","74/2, Borough-X, Golf Green, Kolkata",0,0,0,4,38,,,,50
Simir Rannaghar,"Jadavpur, Kolkata","E/21, Katju Nagar, Jadavpur, Kolkata",1,0,17,3.6,847,,,,250
Momo King,"Jadavpur, Kolkata","6/88, Bijoygarh, Samajgarh, Jadavpur, Kolkata",1,0,3,4.2,211,,,,300
Suruchi Snacks Corner,"Picnic Garden, Kolkata","143/62, Picnic Garden Road, Near Dilip Mukherjee Smriti Sangh, Picnic Garden, Kolkata",0,0,0,4,301,,,,100
Vaango,"Acropolis Mall, Kasba, Kolkata","1858/1, Acropolis Mall, 3rd Floor, Rajdanga Main Road, Kasba, Kolkata",1,1,162,4.1,316,,"Signature Plain Dosa, Filter Coffee, Dahi Vada, Chutneys, Masala Dosa, Idli","South Indian Food, Menu, Food Quality, Quantity, Staff, Service",400
Byepass Dhaba,"Science City Area, Kolkata","1 A/B, Metropolitan Cooperative Housing Society, Canal South Road, Science City Area, Kolkata",1,0,2178,4.2,427,,"Reshmi Butter Chicken, Murg Lababdar, Tandoori Murg, Chicken Lahori, Cheese Garlic Naan, Brownie Ice Cream","Huge Seating Area, Perfect Location, Comfortable Seating, Convenient Location, Great Location, Good Atmosphere",800
Maa Trinayani Restaurant,"Jadavpur, Kolkata","83, Near Lakhan Kutir, Garfa Main Road, Jadavpur, Kolkata",1,0,114,4,2517,,,,500
Chennai Express,"Kasba, Kolkata","P 8, Jogendra Gardens, Kasba, Kolkata",0,1,0,3.8,1322,,,,200
Only Haji Saheb,"Jadavpur, Kolkata","P112, Regent Estate, Near Lalka Math, Jadavpur, Kolkata",1,0,67,3.9,3677,,,"Good Food, Food Quality, Quantity, Staff, Packaging, Price",500
Kimli,"Hindustan Park, Kolkata","56G, Purnadas Road, Hindustan Park, Kolkata",1,0,1610,4.1,1379,,"Teriyaki Fish, Chilli Duck, Coriander Chicken, Chilli Garlic Chicken, Thai Chicken, Cantonese Noodles","Food Prep Time, Lightings, Comfortable Seating Area, Pocket Friendly Restaurant, Mixed Rice, Family Place",600
Blue Mug,"Jodhpur Park, Kolkata","1/121, Jodhpur Park, Kolkata",1,0,4258,4.2,649,,"Peri Peri Chicken Platter, Grilled Chicken Fillet, Lamb Pasta, Snickers Shake, Lamb Ribs, Brownie Shakes","Outdoor Sitting, Pretty Cafe, Outdoor Seating Arrangement, Lovely Cafe, Serving Size, Beautiful Cafe",450
Tea Chai,"Hazra, Kolkata","11h, Satyendra Nath Majumder Sarani, Manohar Pukur Road, Ward 84, Hazra, Kolkata",0,0,0,4.3,134,,,,150
Gourmet Couch by ITC Royal Bengal,"Science City Area, Kolkata","JBS Haldane Avenue, EM Bypass, Science City Area, Kolkata",0,0,0,3.9,139,,,"Proper Packaging, Timely Service, Prices, Value for Money, Taste, Food",700
Dumpling Kitchen,"Jadavpur, Kolkata","6, Raja S.C. Mullick Road, Jadavpur, Kolkata",1,0,2,-,11,,,,500
Jajabor,"Naktala, Kolkata","35/6/70, Minapara Road, Naktala, Kolkata",0,0,0,3.8,83,,,,100
Ghoroa Bangali,"Santoshpur, Kolkata","24/1, Naskarpara, Santoshpur, Kolkata",0,0,0,3.3,589,,,"Very Good Quality, Yummy Food, Good Price, Good Packaging, Spill Proof Packaging, Mouth Watering Food",100
Chaiza,"Ruby Hospital Area, Kolkata","S/29A, Ground Floor, Anandapur Kasba Industrial Estate, Phase 3M, EM By-pass East, Ruby Hospital Area, Kolkata",0,0,0,3.9,20,,,,50
The Mighty Bowl,"Ruby Hospital Area, Kolkata","S/29A, Ground Floor, Anandapur Kasba, Industrial Estate, Phase-3M, EM By-Pass East, Ruby Hospital Area, Kolkata",0,0,0,4.2,102,,,,200
As You Like Eat South Indian,"Jadavpur, Kolkata","1/88/1, Azadgarh 13, Golf Club Gate, Jadavpur, Kolkata",0,0,0,3.7,3146,,,,150
The Biryani & Kebab Factory ,"Ruby Hospital Area, Kolkata","610, Ward No-108, VIP Nagar, Ruby Hospital Area, Kolkata",0,0,0,4,40,,,,250
Greenland China,"Garia, Kolkata","Q50, Baishnabghata Patuli Township, Patuli, Garia, Kolkata",1,0,68,4.1,262,,,"View, Location, Good Food, Quantity, Ambience, Service",650
Tawa Tamancha,"Jadavpur, Kolkata","18A/1, Bikramgarh, Near Netra Niketan, Jadavpur, Kolkata",1,0,104,3.9,9937,,,,350
Express By Ab's,"Ruby Hospital Area, Kolkata","Akash Tower, 781, Eastern Metropolitan Bypass, Anandapur, Kasba, Ruby Hospital Area, Kolkata",0,0,0,3.7,126,,"Crispy Corn, Basanti Pulao, Chilly Chicken, Kebabs, Dessert, Buffet","Excellent Service, Extensive Menu, Staff Behaviour, Worth the Money, Great Portions, Food Presentation",150
